Randint,Question,Answer,Type,Section,Sub Section
24,Allow GM Seeds which don't have ______ or â†—ï¸ Cost,Terminator Genes,BaLiEconomix,ES 2017,
25,"Due to Son Meta Preference, there are exists _______ unwanted â™€ï¸ in India, which leads to â™€ï¸ being neglected in Food & Nutrition ",21 million+,BaLiEconomix,ES 2018,
26,"IBC led to (increment/reduction) in NPA % as â‚¹50,000 Crore worth of NPA upgraded back to Std Assets ",reduction,BaLiEconomix,ES 2019,
27,"If there exists no Govt, bigðŸŸ  shall eat smallðŸŸ. This theory is called",Theory of Matsya-nyay,BaLiEconomix,ES 2019,
28,"_______ Cases pending in Judicial System, >80% of them are concentrated in District & Subordinate Courts. 70% Criminal, 30% Civil Cases.",3.5 Crore,BaLiEconomix,ES 2019,
29,"Schemes like GST Composition Scheme, Priority sector lending, Public Procurement Quota, Benefits in Govt Tendering etc create 'perverse' incentive for firms to remain small, thereby leading to _______. Hence Entrepreneurs find it optimal to start a new firm to continue availing these benefits. Result of this is that A 40-yo FirmðŸ‡²ðŸ‡½ generates 40% more Jobs than A 40-yo FirmðŸ‡®ðŸ‡³	.",MSME Dwarfism,BaLiEconomix,ES 2019,
30,What's the anti dote to MSME Dwarfism?,"Sunset Clause for Incentives (After 5-7yrs, Firm can no longer claim it)",BaLiEconomix,ES 2019,
31,"SARFAESI legal proceedings took 4.3yrs Avg, whilst IBC took only",340 days,BaLiEconomix,ES 2020,
32,"In 2019, Total PSB loss was _____, which was greater than India's Budget for Education",66k Crore,BaLiEconomix,ES 2020,
33,What's the major benefit of PSB Mergers?,reduced cost of business due to reduced duplication of efforts.,BaLiEconomix,ES 2020,
34,_______ is responsible for Price Fluctuations in Pulses,Cobweb Cycle,BaLiEconomix,ES 2020,
35,Which areasðŸ‡®ðŸ‡³ face higher inflation than AvgðŸ‡®ðŸ‡³,"Andaman Lakshadweep (Geographical Location) 
Manipur (frequent blockades)
Kerala (Floods)",BaLiEconomix,ES 2020,
36,Estimate as to how much a common ðŸ‡®ðŸ‡³n pays for platter of food acrossðŸ‡®ðŸ‡³. Such estimates are collectively referred to as,Thalinomics,BaLiEconomix,ES 2020,
37,"According to Thalinomics estimates, which region had highest price of a Non Veg Thali?",Andaman â‚¹40 (both Urban Rural),BaLiEconomix,ES 2020,
38,"According to Thalinomics estimates, which region had highest price of a Veg Thali?",Urban Mizoram & Rural Arunachal,BaLiEconomix,ES 2020,
39,"According to Thalinomics estimates, which region had cheapest price of a Veg Thali?",UP (â‚¹23),BaLiEconomix,ES 2020,
40,"According to Thalinomics estimates, which region had cheapest price of a Non Veg Thali?",Haryana (â‚¹28),BaLiEconomix,ES 2020,
41,_______ has highest number of FDAðŸ‡ºðŸ‡¸ compliant Pharma Plants outside ðŸ‡ºðŸ‡¸,ðŸ‡®ðŸ‡³,BaLiEconomix,ES 2020,
42,"To Open Shop, 20+ Document Required in ðŸ‡®ðŸ‡³ while only ______ Licenses RequiredðŸ‡¨ðŸ‡³",4,BaLiEconomix,ES 2020,
43,"Phenomena when individuals or firms exploit political/economic systems to gain wealth *without creating value. 
(eg Telecom Co pays bribes for Spectrum â¬†ï¸ Operational Costs â¬†ï¸Rates for Users to recover bribes	). This phenomena was highlighted by _______ propounded by ______",Rent Seeking Behavior by Ricardo,BaLiEconomix,ES 2020,
44,First World trying to enforce their views upon 3rd World to sell their Nuclear Fuel & Tech	is called,Carbon Imperialism,BaLiEconomix,ES 2020,
45,Coal for ðŸ‡®ðŸ‡³ is necessary evil as Land requirement for Solar based Powerplant is ______ that of Thermal,10x,BaLiEconomix,ES 2020,
46,Low number of toilets âž¡ï¸ Cuties won't eat to avoid ðŸ’© during day leading to,Malnutrition & Anaemia (â¬‡ï¸Brain Development â¬‡ï¸Educational Outcomes),BaLiEconomix,ES 2020,
47,"Even if child eats, nutrients won't be absorbed fully â¬‡ï¸Brain Development â¬‡ï¸Educational Outcomes. This absorption problem is called",Intestinal Infection (enteropathy),BaLiEconomix,ES 2020,
48,"If product is sent from Delhi to ðŸ‡ºðŸ‡¸	
- 19 Days : ðŸ‡®ðŸ‡³Delhi to MH, Custom Clearance
- 19 Days : ðŸ‡®ðŸ‡³ to ðŸ‡ºðŸ‡¸
- __ Days : ðŸ‡ºðŸ‡¸Unloading, Custom Clearance, Transporting to Cx",3 Days,BaLiEconomix,ES 2020,
49,"StudentsðŸ‡®ðŸ‡³ spend ______ during their stay in Foreign Univ. Hence, in a way, Education QualityðŸ“ðŸ‡®ðŸ‡³ can also be used to â¬‡ï¸ CAD",$5 Billion,BaLiEconomix,ES 2020,
50,"During Financial Crisis, regulatory bodies like RBI may allow some relaxation in guidelines. This relaxation is referred to as",Regulatory Forbearance,BaLiEconomix,ES 2021,
51,"State share was 40%	so TMC argued that if we are giving 40%, why Scheme should be called _______ and withdrew from the scheme which led to backward performance of WB in health while Bihar Assam have improved",PM-JAY,BaLiEconomix,ES 2021,
52,"Long Term Steps reap benefits in Long Term, while Elections are Short Term. Thus, Govt tend to neglect Long Term Vision & focuses more on à¤°à¥‡à¤µà¤¡à¤¼à¥€ à¤•à¤²à¥à¤šà¤°. This phenomenon is called",Horizon Problem of Democracy,BaLiEconomix,ES 2021,
53,"3C Worry	: PSBs worry that if loans given to MSME turn NPA, then 3C will harass them unnecessarily. What're those 3 Cs?","CBI
CVC
CAG",BaLiEconomix,ES 2021,
54,Moderate Inequality isn't bad. ________ advocates Wealth Creation by Ethical Means hence Govt shud give equal opportunity to Entrepreneurs,Thirukural by Thiruvallur,BaLiEconomix,ES 2021,
55,"American Sharemarket regulators has 15x times employees than SEBI. So, we also need to increase manpower in regulatory bodies. As advocated by _______ that We should assume every man is a knave (=dishonest person), his actions are always driven by private interest. So, effective supervision requiredâ€",David Hume,BaLiEconomix,ES 2021,
56,"""while people are sometimes selfish, they also derive pleasure from seeing the happiness of others. "" This statement resonates to Theory of Moral Sentiments by _______.",Adam Smith,BaLiEconomix,ES 2021,
57,ES advocated _______ where Govt assumes that Co's Board of Director & Higher Officials has taken all decisions in good faith,Doctrine of Business Judgement Rule,BaLiEconomix,ES 2021,
58,Primary Problems and Solutions with Health Sector are,"Doc Nurse Ratio
Negative Externalities	(eg Unhealthy Lifestyle, bad AQI)",BaLiEconomix,ES 2021,
59,"Premium costs charged by Hospitals due to ________, where one party in a transaction has info more than other leading to chances of exploitation",Info Assymmetry,BaLiEconomix,ES 2021,
60,"Which economic indicator measures access to basic essentials like water, sanitation, and housing to assess poverty levels beyond income metrics was introduced in ES21?",Bare Necessities Index,BaLiEconomix,ES 2021,
61,Bank's NPAs have declined from 11% in 2017 to ____% in 2021,7%,BaLiEconomix,ES 2022,
62,Every â‚¹1 spent on Agri R&D yields ______ as returns,â‚¹11.2,BaLiEconomix,ES 2022,
63,Every â‚¹1 spent on Fertiliser Subsidy yields ______ as returns,â‚¹0.88,BaLiEconomix,ES 2022,
64,Every â‚¹1 spent on Power Subsidy yields ______ as returns,â‚¹0.79,BaLiEconomix,ES 2022,
65,Every â‚¹1 spent on Education Subsidy yields ______ as returns,â‚¹0.97,BaLiEconomix,ES 2022,
66,Every â‚¹1 spent on Roads yields ______ as returns,â‚¹1.1,BaLiEconomix,ES 2022,
67,______ is Gemâœ¨,Gem Portal,BaLiEconomix,ES 2022,
68,Number of airports in 2016 has improved from 60+ to _____ in 2021,130,BaLiEconomix,ES 2022,
69,"ðŸ‡®ðŸ‡³'s ______ has improved, implying more Urbanisation has taken place, access to âš¡ has improved",Night Time Luminosity Map,BaLiEconomix,ES 2022,
70,"_______ of Covid Mgmt followed by ðŸ‡ºðŸ‡¸ (that is, Conventional Method of Policy Making eg Give all Covid vaccines at once or spend huge sums at once) ",Waterfall ApproachðŸ‡ºðŸ‡¸,BaLiEconomix,ES 2022,
71,"_______ of Covid Mgmt was followed by ðŸ‡®ðŸ‡³ that involves Graded & Incremental Approach, eg Give Covid Vaccine first to Health Workers & Senior Citizens, then to Other Adults Aged 18+ and so on",Barbell/Agile ApproachðŸ‡®ðŸ‡³,BaLiEconomix,ES 2022,
72,What's the cause behind sudden surge in Certificate of Deposits issued by Bank?,because Bankers don't have enough money to loan due to RBI's Hawkish Monetary Policy (Repoâ¬†ï¸),BaLiEconomix,ES 2023,
73,Opposition flagged that currency depreciation is going to increase Debt Repayment. Govt downplayed this threat by suggesting,"Most Foreign Debt is denominated in â‚¹ Currency (30%), so don't worry much",BaLiEconomix,ES 2023,
74,"What is Shining India Growth Phase of 2003-08, that ðŸ‡®ðŸ‡³ is expected to repeat as per ES?","1998 = Atal Bihari Vajpayee took transformative reforms		
	but effects in terms of Output not realized due to	Sanctions due to Nuclear Tests and Draughts
	hence it tool upto 2003 to realise effects	
2003-08 : ðŸ‡®ðŸ‡³ shows exponential growth ",BaLiEconomix,ES 2023,
75,Sovereign External Debt compose _____ of Total Debt,20.40%,BaLiEconomix,ES 2023,
76,Reason for high milk inflation is,Lumpy Disease and Underfed cattle during Covid,BaLiEconomix,ES 2023,
77,Flipping by Founders (process of transferring ownership to an overseas entity to evade tax) can be avoided via,DTAA Double Tax Avoidance Agreement,BaLiEconomix,ES 2023,
78,3 Growth magnets of the Decade (2020-30),"Digitalization Reforms, Improved Banking Sector, Favorable Geopolitical Situations ",BaLiEconomix,Indian Economy Review 2223 > General,
79,Insurance Penetration as per FY2021 is,4.20%,BaLiEconomix,Indian Economy Review 2223 > MBFI,
80,Which states have recorded highest registration on eShram Portal,UP > Bihar > WB,BaLiEconomix,Indian Economy Review 2223 > Sectors,
81,Share of ðŸ‡®ðŸ‡³ in cumulative Global Emission (1850-2019),4%,BaLiEconomix,Indian Economy Review 2223 > Infra,
82,"According to NFHS, how many % â™€ï¸ are overweight or obese",24%,BaLiEconomix,Indian Economy Review 2223 > HRD,
83,"According to NFHS, how many % â™‚ï¸ are overweight or obese",22.90%,BaLiEconomix,Indian Economy Review 2223 > HRD,
84,How many SHGs ðŸ“ðŸ‡®ðŸ‡³,1.2 Cr,BaLiEconomix,Indian Economy Review 2223 > HRD,
85,Which city is to developed as Sports Hub,Bhopal,BaLiEconomix,ðŸ“” (MP) 2324 > General,
86,Intl Sports Science Centre is to be established in,"Nathubarkheda, Bhopal",BaLiEconomix,ðŸ“” (MP) 2324 > General,
87,How many MP players in Paris and Para Olympics,5,BaLiEconomix,ðŸ“” (MP) 2324 > General,
88,"How many trees to be planted under ""à¤à¤• à¤ªà¥‡à¤¡à¤¼ à¤®à¤¾à¤ à¤•à¥‡ à¤¨à¤¾à¤®""",51 Lac Trees,BaLiEconomix,ðŸ“” (MP) 2324 > General,
89,What's the cleanest capitalðŸ“ðŸ‡®ðŸ‡³?,Bhopal,BaLiEconomix,ðŸ“” (MP) 2324 > General,
90,Which cities selected for Cities 2.0 Competition?,Ujjain and Jabalpur,BaLiEconomix,ðŸ“” (MP) 2324 > General,
91,What's rank of MP in Implementation of PM Svanidhi Yojana,2nd,BaLiEconomix,ðŸ“” (MP) 2324 > General,
92,What's rank of MP in Implementation of PM Awas Yojana (Urban),2nd,BaLiEconomix,ðŸ“” (MP) 2324 > General,
93,"What's rank of MP in Number of Cheetah, Tiger, Leopard, Ghariyal, Wolf, Vultures",1st,BaLiEconomix,ðŸ“” (MP) 2324 > General,
94,What's rank of MP in Pulses,1st,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
95,What's rank of MP in Food Grains,2nd,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
96,What's rank of MP in Oilseeds,2nd,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
97,"In which district, Shree Anna Research Centre is to be established",Dindori,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
98,"In which district, Chana Research Centre is to be established",Ujjain,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
99,How much sum is given per year under Mukhyamantri Kisan Kalyan Yojana,6k/year,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
100,2024-25 has been declared as ______ by MP Govt,à¤—à¥Œ à¤µà¤‚à¤¶ à¤°à¤•à¥à¤·à¤¾ à¤µà¤°à¥à¤·,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
101,Which District have been declared as Best Inland District,Sivni,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
102,Which District have been declared as Best Cooperative Society for Fisheries,Balaghat,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
103,"In which district, Textile Cluster called ""PM Mitra Park has been established",Dhar,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
104,"In which district, Mega Leather and Footwear Accesories Plant have been established",Morena,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
105,"In which district, Medical Device Park is established",Ujjain,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
106,In which cities does PM Heli and à¤µà¤¾à¤¯à¥ à¤ªà¤°à¥à¤¯à¤Ÿà¤¨ à¤¸à¥‡à¤µà¤¾ 2023 started,"8 Cities - Indore, Bhopal, Jabalpur, Rewa, Singrauli, Ujjain Khajuraho",BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
107,First Ease of Doing Business Conclave is set to take place in,Ujjain,BaLiEconomix,ðŸ“” (MP) 2324 > Sectors,
108,What's rank of MP in Total Solar Energy Produced,8th,BaLiEconomix,ðŸ“” (MP) 2324 > Infra,
109,How much Solar Energy producedðŸ“MP as a % of Total Solar Energy Generated ðŸ“ðŸ‡®ðŸ‡³,8.20%,BaLiEconomix,ðŸ“” (MP) 2324 > Infra,
110,Is MP self reliant in Solar Energy Sector?,Yes,BaLiEconomix,ðŸ“” (MP) 2324 > Infra,
111,101 MW Floating Solar Park to establish in,Chambal,BaLiEconomix,ðŸ“” (MP) 2324 > Infra,
112,Saint Ravidas Smarak located in,Sagar,BaLiEconomix,ðŸ“” (MP) 2324 > Infra,
113,Advait Lok (108 ft tall statue) located in,Omkareshwar,BaLiEconomix,ðŸ“” (MP) 2324 > Infra,
114,World's First Vedic Clock located in,Ujjain,BaLiEconomix,ðŸ“” (MP) 2324 > Infra,
115,How many people exited Multidimensional Poverty since 2013-14 in MP,2 Crore 30 Lacs,BaLiEconomix,ðŸ“” (MP) 2324 > HRD,
116,3 new Govt Medical Universities to be opened in next year,"Mandsaur, Neemuch, Sivni",BaLiEconomix,ðŸ“” (MP) 2324 > HRD,
117,How many existing Govt Medical Colleges are there,14,BaLiEconomix,ðŸ“” (MP) 2324 > HRD,
118,How many Ayurvedic Hospitals in MP and where,"Shahdol, Sagar, Narmadapuram, Morena",BaLiEconomix,ðŸ“” (MP) 2324 > HRD,
119,What are the new Govt Universities established in Madhya Pradesh,"Kranti Surya Tantya Bherl VVðŸ“ Khargone, Tatya Tope VVðŸ“Guna, Rani Avanyibai Lodhi VVðŸ“Sagar",BaLiEconomix,ðŸ“” (MP) 2324 > HRD,
120,Which Tribal Groups are covered under Aahar Anudan Yojana,"Baiga, Bhariya, Sahariya",BaLiEconomix,ðŸ“” (MP) 2324 > HRD,
121,Which is the top sector in Indian Startups,EdTech,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2324 > General,
122,"What's External Debt to GDP Ratio in FY2024 (while absolute External Debt is rising, Debt to GDP Ratio is declining)",18.70%,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2324 > Budget,
123,ðŸ‡®ðŸ‡³ is a net exporter of Steel (True/False),TRUE,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2324 > Sectors,
124,Which 3 states account for more than 40% Factory Employment,"TN, GJ, MH",BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2324 > Sectors,
125,ðŸ‡®ðŸ‡³ in FY2023-24 became _____th largest service exporting country globally,7th,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2324 > Sectors,
126,RankðŸ‡®ðŸ‡³ ðŸ“Logistics Index has improved from 44th (2018) to _____th in 2023,38th/139,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2324 > Infra,
127,Wait times at toll plaza down from 734 seconds (2014) to ______ (2024),47 seconds,BaLiEconomix,ðŸ“”ðŸ‡®ðŸ‡³ 2324 > Infra,
128,How much is total Budget Outlay,"â‚¹50,65,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
129,How much is total Revenue Receipts,"â‚¹34,20,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
130,How much is Net Tax Receipts (Central Share of Tax)?,"â‚¹28,37,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
131,How much is Gross Tax Receipts (Total Tax Collected States + Center)?,"â‚¹42,70,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
132,How much is total receipts from Income Tax,"â‚¹14,38,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
133,How much is total receipts from Corporate Income Tax,"â‚¹10,82,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
134,How much is total receipts from GST,"â‚¹11,78,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
135,How much is total receipts from Customs Duty,"â‚¹2,40,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
136,How much are Non Tax Receipts,"â‚¹5,83,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
137,How much Grants received from Centre,N/A,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
138,How much is the Capital Receipts,"â‚¹16,44,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
139,How much Capital Receipts from Recovery of Loans?,"â‚¹29,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
140,How much Capital Receipts from Disinvestment?,"â‚¹47,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
141,How much Capital Receipts from Borrowings?,"â‚¹15,68,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
142,How much is Debt from Central Govt,N/A,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
143,How much is Revenue Expenditure,"â‚¹39,44,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
144,How much is Debt Servicing Expenditure,"â‚¹12,76,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
145,How much is Capital Expenditure,"â‚¹11,21,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
146,How much is Budget Deficit as a % of GDP,â‚¹0,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
147,How much is Revenue Deficit as a % of GDP,524000 (1.5%),BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
148,How much is Fiscal Deficit as a % of GDP,â‚¹1568000 (4.4%),BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
149,How much is Primary Deficit as a % of GDP,292000 (0.8%),BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
150,How much is Effective Revenue Deficit as a % of GDP,"â‚¹96,000 (0.3%)",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
151,How much is allocation for Gender Budget,N/A,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
152,What are the top 5 Ministries in terms of budget allocation?,FINANCE > Defence > Rural Development > Home Affairs > Agriculture > Education > Health,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
153,What are least 3 Ministries in terms of budget allocation?,?,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
154,Rupee comes from : Borrowing and other liabilities,24%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
155,Rupee comes from : Income Tax,22%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
156,Rupee comes from : GST,18%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
157,Rupee comes from : Corporation Tax,17%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
158,Rupee comes from : Non Tax Receipts,9%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
159,Rupee goes to : States' share of taxes and duties,22%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
160,Rupee goes to : Interest Payments,20%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
161,Rupee goes to : Central Sector Scheme,16%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
162,Rupee goes to : Central Sponsored Schemes,8%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
163,Rupee goes to : Finance Commission,8%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
164,Rupee goes to : Defence,8%,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > Financials,
165,Which 5 aspirations of Viksit Bharat has been laid down in the Budget?,"Accelerate growth
Secure inclusive development
Enhance spending power of middle class
Uplift household sentiments
Invigorate Private Sector Investments",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > General,
166,The Budget proposed development measures focused on which 4 sections of economy?,"Poor, Youth, Farmer, Women",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > General,
167,Which 4 sectors have been identified as engines of development?,"Agriculture, MSME, Investment, Exports",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > General,
168,"Under the 3rd engine of Budget 2025, which three aspects does Government intends to invest in? ","People, Economy, Innovation",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > General,
169,"Which mission aims to survey and conserve Indiaâ€™s manuscript heritage will be undertaken, including a national digital repository of Indian knowledge systems?",Gyan Bharatam Mission,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > General,
170,"Which ""fuel"" is used to empower four engines of development?",Reforms,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > General,
171,_________ will be deepened and expanded in rural areas to promote financial inclusion.,India Post Payment Bank,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > MBFI,
172,"The limit for TDS on interest for senior citizens will be doubled from Rs. 50,000 to","â‚¹1,00,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > MBFI,
173,The TDS threshold for rent will be raised from â‚¹2.40 lakh to â‚¹_______.,â‚¹6 lakh,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > MBFI,
174,The TCS for Liberalized Remittance Scheme threshold on remittances will be increased from Rs. 7 lakh to,â‚¹10 lakh,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > MBFI,
175,National Savings Scheme (NSS) accounts and NPS Vatsalya accounts withdrawals will be exempt from tax for individuals starting from _________.,29th August 2024,BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > MBFI,
176,"Vivad Se Vishwas Scheme, which helps resolve income tax disputes, has already helped _______ taxpayers settle their disputes.","33,000",BaLiEconomix,ðŸ“„ðŸ‡®ðŸ‡³ 2526 > MBFI,
